Variable,n,Mean,SD,SE,Median,IQR,Min,Max,Skewness,Kurtosis,95CI_lower,95CI_upper
Relevance — AI,30,2.9903,0.0323,0.0059,2.9877,0.0417,2.9128,3.0607,0.0206,-0.0349,2.9788,3.0019
Relevance — Keyword,30,3.2927,0.0618,0.0113,3.2888,0.0673,3.151,3.4277,0.0984,-0.006,3.2706,3.3149
Relevance — difference (AI−KW),30,-0.3024,0.0778,0.0142,-0.3032,0.1028,-0.432,-0.1048,0.452,0.1334,-0.3303,-0.2746
Task time (s) — AI,30,37.4285,3.2368,0.591,36.6858,3.8858,31.7183,44.5067,0.6937,-0.2065,36.2702,38.5868
Task time (s) — Keyword,30,56.2966,6.2128,1.1343,57.2133,7.3137,44.095,72.43,0.4817,0.5267,54.0733,58.5198
Task time (s) — difference (AI−KW),30,-18.8681,7.295,1.3319,-18.485,7.2088,-36.9983,-0.88,-0.3254,0.7615,-21.4785,-16.2576
SUS score — AI,30,78.1667,4.6855,0.8555,77.5,5.0,65.0,87.5,-0.5224,0.7381,76.49,79.8434
SUS score — Keyword,30,49.0833,8.6723,1.5833,50.0,10.0,30.0,65.0,-0.0283,-0.5469,45.98,52.1867
SUS score — difference (AI−KW),30,29.0833,8.027,1.4655,27.5,11.875,10.0,47.5,0.1858,0.2163,26.2109,31.9558
